[2018-05-26 18:09:39] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-26 18:09:39] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-20064512]
[2018-05-26 18:10:24] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:10:24] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:10:24] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:10:24] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[41353], devIP[c0a80169]
[2018-05-26 18:10:24] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-26 18:10:24] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:10:24] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:10:25] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:10:25] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-26 18:10:25] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-1842034944]
[2018-05-26 18:11:18] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:11:18] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:11:18] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:11:18] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[58944], devIP[c0a80169]
[2018-05-26 18:11:18] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-26 18:11:18] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:11:18] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:11:18] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:11:19] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-26 18:11:19] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-1275070720]
[2018-05-26 18:29:25] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:29:25] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:29:25] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:29:25] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[47401], devIP[c0a80169]
[2018-05-26 18:29:25] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
